Filename,Doi,Abstract,Materials
The title is hidden due to some reasons,[https://doi.org/10.1021/acsami.3c07268],"[This article proposes a principle of engineering configurational entropy to tune oxygen vacancies in high-entropy oxides (HEOs), demonstrating higher oxygen vacancy concentrations and lower formation energies compared to single or binary oxides, leading to enhanced catalytic activity in CO/C3H6 oxidation.]","[Mn,Cu,Co,Ni,Fe,Zn]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.ceramint.2023.08.175],"[This article reports a high-entropy rare-earth zirconate (Y0.2La0.2Nd0.2Sm0.2Eu0.2)2Zr2O7 (YLNSE) with superior sintering resistance, high thermal expansion coefficient, low thermal conductivity, and excellent phase stability at 1500°C, making it a promising candidate for ultra-high temperature thermal barrier coatings.]","[Y2O3,ZrO2,La2O3,Nd2O3,Sm2O3,Eu2O3]"
The title is hidden due to some reasons,[https://doi.org/10.1126/science.adi2224],"[This article presents a solution-processed radiative cooling glass coating composed of a microporous glass framework and aluminum oxide particles, achieving high solar reflectance (>0.96) and infrared emissivity (~0.95) for subambient cooling, with temperature drops of ~3.5°C and 4°C under high humidity, demonstrating environmental stability and scalability.]","[Al2O3,SiO2,P2O5,Na2O,K2O,B2O3]"
The title is hidden due to some reasons,[https://doi.org/10.1126/science.adi4724],"[This article presents a hierarchically structured passive radiative cooling ceramic with near-perfect solar reflectivity (99.6%) and high thermal emissivity, achieving subambient cooling of up to 8.8°C and cooling power exceeding 130 W/m2, demonstrating significant energy-saving potential for building applications.]",[Al2O3]
The title is hidden due to some reasons,[https://doi.org/10.1021/acsami.3c09447],"[This article designs and synthesizes a series of high-entropy perovskite oxides (LaxK0.4?xCa0.2Sr0.2Ba0.2)TiO3+δ to achieve high optical reflectivity (up to 94%) by suppressing oxygen vacancies through lattice distortion control, demonstrating their potential for optical applications such as radiation cooling and laser protection.]","[La2O3,K2CO3,CaO,SrO,BaO,TiO2]"
The title is hidden due to some reasons,[https://doi.org/10.1002/adma.202308189],"[This article reports a stepless and wide-range infrared (IR) chromism phenomenon in Ti3C2Tx MXene, achieving a 56% emissivity modulation through water molecule intercalation, and demonstrates its application in sweat-responsive adaptive textiles for dynamic personal thermal management.]","[Ti3C2Tx,CNF]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.cej.2024.152289],"[This article reports a tannic acid (TA) enhanced MXene composite film with low infrared emissivity and excellent oxidation resistance, maintaining an emissivity of only 0.24 after 20-day humid heat exposure, providing a stable solution for infrared stealth applications in harsh environments.]","[Ti3C2Tx,TA]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41467-024-52328-z],"[This article develops a millimeter-scale passive isothermal film that maintains temperatures near 25°C in arid climates using a radiative cooling unit (PDMS diffraction grating and SiO2/Ti/Ag layers) and a water desorption-driven endothermic reaction unit (MIL-101(Cr)/H2O/NH4NO3), achieving daily cooling and heating load reductions of approximately ?1.1 kW m?2 and 0.3 kW m?2, respectively.]","[PDMS,SiO2,Ti,Ag,MIL-101(Cr),NH4NO3]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41928-024-01242-9],"[This article presents a microspectrometer using a deformable two-dimensional MoS2 homojunction to achieve dual-signal spectral reconstruction, enabling a resolution of 1.2 nm and a spectral waveband number of 380, comparable to benchtop spectrometers, for applications in chemical analysis, medical diagnosis, and environmental monitoring.]","[MoS2,Cr,Au,HfO2,SiO2,Si]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41928-024-01208-x],"[This article reports bioinspired spectra-adapted vision sensors based on back-to-back photodiode arrays, enabling tunable spectral sensitivity to match either broadband visible or narrowband near-infrared spectra via bias voltage adjustment. The sensors achieve rapid adaptation (100 kHz), enhance Weber contrast by over tenfold, and improve recognition accuracy from 33% to 90% in high-glare environments.]","[ITO,TiO2,Sb2Se3,Si,Ag]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.ynexs.2024.100028],"[This article proposes a zigzag-based structural wall design with asymmetric emissivity (ERZ wall) to enhance radiative cooling for buildings, combining an IR-emissive sky-facing surface and an IR-reflective ground-facing surface, achieving significant temperature reduction and energy savings in warm climates.]","[Al,PDMS,Mylar,Ag,PS,PE,Au,Si]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s44284-024-00047-3],"[This article evaluates and optimizes retro-reflective (RR) materials for urban cooling, demonstrating that RR walls and pavements can reduce urban canyon surface temperatures by up to 20°C and air temperatures by up to 2.6°C, while improving pedestrian thermal comfort. It provides design guidelines for diverse climates and urban geometries.]",[RR]
The title is hidden due to some reasons,[https://doi.org/10.1126/science.adl0653],"[This article presents a spectrally engineered textile for radiative cooling in urban heat islands, achieving effective temperature reduction by optimizing infrared emissivity and solar reflectivity while maintaining wearability and durability.]","[PMP,AgNW,SEBS,Al2O3,Si,UHMWPE,wool]"
The title is hidden due to some reasons,[https://doi.org/10.1126/science.384.6702.1203],"[This article presents a mid-infrared spectrally selective hierarchical fabric (SSHF) designed for radiative cooling in urban heat islands, featuring high solar reflectivity (0.97) and selective emissivity (0.85 in the 8-13 μm atmospheric transmission window), achieving a 2.3°C cooling advantage over broadband emitters in vertical urban scenarios while maintaining wearability.]","[PMP,AgNW,SEBS,UHMWPE,wool]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.jeurceramsoc.2024.116776],"[This article designs YSZ-LaMgAl11O19 (YSZ-LMA) composite thermal barrier coatings with parallel splat interfaces to enhance sintering resistance and thermal radiation reflectance, achieving a 36.7K reduction in substrate temperature after heat treatment at 1300°C for 200 hours.]","[YSZ,LMA]"
The title is hidden due to some reasons,[https://doi.org/10.1111/jace.20087],"[This article proposes a region-function-matching design for thermal barrier coatings (TBCs) to balance thermal insulation and mechanical durability, achieving double the lifespan of conventional TBCs while maintaining comparable thermal insulation by tailoring porosity gradients across the coating thickness.]","[YSZ,NiCoCrAlTaY]"
The title is hidden due to some reasons,[https://doi.org/10.1126/science.384.6701.1203],"[This article presents a mid-infrared spectrally selective hierarchical fabric (SSHF) designed for radiative cooling in urban heat islands, featuring high solar reflectivity (0.97) and selective emissivity (0.85 in the 8-13 μm atmospheric transmission window), achieving a 2.3°C cooling advantage over broadband emitters in vertical urban scenarios while maintaining wearability.]","[PMP,AgNW,SEBS,UHMWPE]"
The title is hidden due to some reasons,[https://doi.org/10.1021/acsmaterialslett.4c01210],"[This article presents a thermochromic smart window (TSW) combining transparent photothermal and electrothermal technologies using layer-by-layer assembled silver nanowires (AgNWs) and MXene nanosheets, achieving efficient solar modulation (ΔTsol=61.8%) and reduced electricity consumption for adaptive building energy conservation.]","[AgNWs,MXene,VO2,PNIPAM,Cu]"
The title is hidden due to some reasons,[https://doi.org/10.1021/acsnano.4c02093],"[This article presents a transparent radiation shield (TRS) based on silver nanowires (AgNWs) for personal thermal management, achieving 75% visible light transmittance and low mid-infrared emissivity (35%) to suppress radiative heat loss while maintaining aesthetic transparency, fabricated via scalable solution-processing methods with high mechanical robustness and stretchability.]","[AgNW,SEBS]"
The title is hidden due to some reasons,[https://doi.org/10.1021/acsmaterialslett.4c00337],"[This article integrates machine learning into the design of biomimetic photonic structures using SiO? as the substrate, achieving high average emissivity (0.985) for radiative cooling. The optimized truncated cone arrays demonstrated a temperature reduction of 8.3°C, offering a robust and efficient solution for passive radiative cooling applications.]",[SiO2]
The title is hidden due to some reasons,[https://doi.org/10.1021/acs.nanolett.4c00153],"[This article presents a pneumatic matrix coupling morphable MXene/elastomer conductors with dielectric spacers, enabling dynamic reconfiguration between flat and hemispherical structures for adaptive radar absorption. The design achieves ultrawide bandwidth (15 GHz), high tunability (144.5%), fast response (~30 ms), and excellent reproducibility (1000 cycles), offering a programmable solution for smart radar cloaking.]","[MXene,FR4,Cu,SC,CNTs]"
The title is hidden due to some reasons,[https://doi.org/10.1021/acsami.3c16162],"[This study presents a planar surface cavity structure using a Ge2Sb2Te5 (GST) film on a thin metal reflector to dynamically modulate emissivity in the long-wave IR range (8-13 μm) via ultraviolet laser-induced phase change, achieving tunable emissivity from 0.15 to 0.77 and enabling high-contrast, erasable emissivity patterns on both rigid and flexible substrates.]","[Ge2Sb2Te5,Al,Si,PI]"
The title is hidden due to some reasons,[https://doi.org/10.1002/adma.202410736],"[This article presents a low-temperature molten salt (LTMS) etching strategy for ultrafast and scalable synthesis of MXenes, achieving production of Ti3C2Tx in 5 minutes and other MXenes within 40 minutes, with demonstrated electrochemical performance for supercapacitor applications.]","[Ti3AlC2,NH4HF2,V4AlC3,Nb4AlC3,Mo2TiAlC2,Mo2Ga2C]"
The title is hidden due to some reasons,[https://doi.org/10.1002/advs.202309392],"[This article presents a weather-resistant MXene-based composite ink (H3M3Si2) with a dual-network structure for infrared stealth applications, achieving low mid-IR emissivity (~30%) and exceptional environmental stability, including oxidation resistance and water resistance, suitable for long-term outdoor use.]","[Ti3C2Tx,HA,HSi]"
The title is hidden due to some reasons,[https://doi.org/10.1002/adfm.202411551],"[This article presents an aerogel-functionalized textile passive thermal regulator (AT-PTR) designed for personal thermal management, achieving sub-ambient cooling of 12.7 °C in summer and a temperature rise of 23.2 °C in winter through passive radiative cooling and solar heating, respectively, while maintaining wearability and durability.]","[SiO2,P(VdF-HFP),CNT,cotton]"
The title is hidden due to some reasons,[https://doi.org/10.1002/adfm.202412261],"[This article presents a bioinspired metafabric for outdoor personal radiative and evaporative cooling, achieving a solar reflectance of 99.4% and mid-infrared emittance of 0.94, with additional cooling via moisture adsorption-desorption and directional sweat transport.]","[PAN,CA,Mes-SiO2NPs]"
The title is hidden due to some reasons,[https://doi.org/10.1002/adfm.202408271],"[This article demonstrates a high-performance triboelectric nanogenerator (TENG) using MSN-intercalated MXene (Ti3C2Tx) composites in a PDMS matrix, achieving a maximum power density of ≈691 μW cm?2. The design leverages charge storage and dielectric enhancement from modified silica nanospheres (MSNs) and MXene layers, enabling efficient energy harvesting and stable performance over 2800 cycles.]","[Ti3C2Tx,PDMS,Al,Si,Cu,Pt]"
The title is hidden due to some reasons,[https://doi.org/10.1002/advs.202401951],"[This article demonstrates the inverse design of photonic surfaces using a tandem neural network (TNN) framework combined with high-throughput femtosecond laser fabrication, achieving precise control of spectral emissivity for applications like thermophotovoltaics (TPV). The TNN model successfully predicts laser parameters to produce tailored emissivity profiles, validated experimentally with a lead selenide-based TPV emitter, showing significant performance enhancements over untextured stainless steel.]",[SS]
The title is hidden due to some reasons,[https://doi.org/10.1016/j.cej.2024.155691],"[This study presents a hybrid smart sensor composed of PDMS, Ag film, and Ag nanoparticles, achieving simultaneous high strain sensitivity and self-radiative cooling, with a gauge factor up to 211 and effective temperature reduction for wearable applications.]","[PDMS,Ag,PET]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.cej.2024.156896],"[This article presents the TAPU-MXene composite film, which achieves adjustable electromagnetic interference (EMI) shielding effectiveness (SE) under self-fixed deformation, with EMI SE ranging from 56.7 dB to 2.75 dB, while also exhibiting excellent mechanical properties, self-healing, adhesion, and shape memory capabilities.]","[PTMEG,IPDI,DMPA,DBTDL,TA,DMF,Ti3AlC2,LiF]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.ceramint.2024.03.285],"[This article develops Eu3?-doped (YSZ)?.?-(YTaO?)?.? ceramic materials blended with Ti?C?Tx MXene to enhance fluorescence intensity and temperature sensitivity, achieving 2x higher sensitivity for real-time thermal barrier coating temperature monitoring.]","[YSZ,YTaO?,Eu?O?,Ti?AlC?]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.cej.2023.148010],"[This article demonstrates an electrochemistry-driven approach to precisely control alkali metal ion intercalation into Mo2CTx MXene electrodes, achieving enhanced lithium storage performance (395.49 mAh g-1 at 200 mA g-1 after 100 cycles) and faster ion transfer kinetics, providing a strategy for optimizing 2D material-based energy storage devices.]","[Mo2CTx,Mo2Ga2C,Super P,PVDF,Ti,Hg,Hg2Cl2,LiOH,NaOH,KOH,LiPF6]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.ensm.2024.103928],"[This article introduces bentonite nanosheets between Ti3CNTx MXene layers to suppress high-temperature oxidation via a competitive oxidation mechanism, achieving thermal stability up to 600°C. The resulting solid-state supercapacitor demonstrates self-healing capability and high areal capacitance (22.8 mF cm?2) with stability over 2000 cycles, enabling high-temperature applications.]","[Ti3CNTx,bentonite]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.infrared.2023.105072],"[This article designs a multilayer metamaterial film using Mo and Ge for laser-compatible infrared stealth, achieving high absorptivity at 1.06μm and 1.55μm for laser stealth and low emissivity in 3-5μm and 8-12μm bands for infrared stealth, while enabling radiant heat dissipation in the 5-8μm non-atmospheric window.]","[Mo,Ge]"
