Wavelength,n,k
0.21,1.194118,1.280124
0.211,1.196195,1.282943
0.212,1.198285,1.285753
0.213,1.20039,1.288556
0.214,1.202511,1.291349
0.215,1.204651,1.294131
0.216,1.20681,1.296902
0.217,1.208991,1.299661
0.218,1.211194,1.302405
0.219,1.213423,1.305135
0.22,1.215677,1.307848
0.221,1.21796,1.310544
0.222,1.220273,1.31322
0.223,1.222617,1.315875
0.224,1.224995,1.318507
0.225,1.227407,1.321116
0.226,1.229856,1.323698
0.227,1.232344,1.326252
0.228,1.234873,1.328776
0.229,1.237443,1.331268
0.23,1.240057,1.333725
0.231,1.242717,1.336146
0.232,1.245425,1.338528
0.233,1.248182,1.340868
0.234,1.250991,1.343164
0.235,1.253853,1.345413
0.236,1.25677,1.347612
0.237,1.259744,1.349758
0.238,1.262776,1.351847
0.239,1.26587,1.353878
0.24,1.269026,1.355845
0.241,1.272247,1.357745
0.242,1.275534,1.359576
0.243,1.27889,1.361332
0.244,1.282315,1.363009
0.245,1.285814,1.364604
0.246,1.289386,1.366111
0.247,1.293035,1.367526
0.248,1.296762,1.368844
0.249,1.300568,1.37006
0.25,1.304457,1.371168
0.251,1.308429,1.372162
0.252,1.312487,1.373037
0.253,1.316633,1.373787
0.254,1.320868,1.374404
0.255,1.325194,1.374882
0.256,1.329613,1.375213
0.257,1.334127,1.375391
0.258,1.338738,1.375406
0.259,1.343447,1.375251
0.26,1.348256,1.374917
0.261,1.353167,1.374394
0.262,1.358181,1.373672
0.263,1.3633,1.372741
0.264,1.368524,1.37159
0.265,1.373856,1.370207
0.266,1.379296,1.36858
0.267,1.384845,1.366696
0.268,1.390505,1.364541
0.269,1.396275,1.3621
0.27,1.402156,1.359357
0.271,1.408149,1.356296
0.272,1.414252,1.352898
0.273,1.420466,1.349145
0.274,1.426788,1.345016
0.275,1.433218,1.340489
0.276,1.439752,1.335541
0.277,1.446388,1.330147
0.278,1.453121,1.324279
0.279,1.459946,1.317909
0.28,1.466856,1.311005
0.281,1.473843,1.303534
0.282,1.480897,1.295459
0.283,1.488005,1.286742
0.284,1.495152,1.277342
0.285,1.502319,1.267213
0.286,1.509485,1.256306
0.287,1.516623,1.244572
0.288,1.523702,1.231954
0.289,1.530682,1.218394
0.29,1.53752,1.203831
0.291,1.544161,1.1882
0.292,1.550544,1.171432
0.293,1.556592,1.153459
0.294,1.56222,1.134208
0.295,1.567326,1.113609
0.296,1.571792,1.091591
0.297,1.575483,1.068091
0.298,1.578243,1.043047
0.299,1.579895,1.016412
0.3,1.580242,0.988151
0.301,1.579062,0.958249
0.302,1.576114,0.926714
0.303,1.571136,0.893586
0.304,1.56385,0.858943
0.305,1.553967,0.822903
0.306,1.541195,0.785635
0.307,1.525245,0.747357
0.308,1.505846,0.708343
0.309,1.48275,0.668917
0.31,1.45575,0.629456
0.311,1.424682,0.590374
0.312,1.389443,0.55212
0.313,1.349983,0.515161
0.314,1.306316,0.479971
0.315,1.258506,0.447017
0.316,1.206661,0.416758
0.317,1.150919,0.389631
0.318,1.091429,0.366067
0.319,1.028334,0.346501
0.32,0.961756,0.331407
0.321,0.891795,0.32135
0.322,0.818545,0.317069
0.323,0.742175,0.319593
0.324,0.663127,0.330389
0.325,0.582572,0.351423
0.326,0.503177,0.38479
0.327,0.429615,0.431252
0.328,0.367145,0.488205
0.329,0.318332,0.550095
0.33,0.282019,0.611705
0.331,0.255353,0.670108
0.332,0.235596,0.724263
0.333,0.22068,0.774101
0.334,0.20916,0.819938
0.335,0.200037,0.862204
0.336,0.192621,0.901338
0.337,0.186427,0.937739
0.338,0.181109,0.971761
0.339,0.176421,1.003713
0.34,0.172185,1.033861
0.341,0.16827,1.062433
0.342,0.164583,1.089626
0.343,0.161055,1.11561
0.344,0.15764,1.140529
0.345,0.154302,1.164511
0.346,0.15102,1.187663
0.347,0.147777,1.210081
0.348,0.144566,1.231843
0.349,0.141381,1.253022
0.35,0.138221,1.273677
0.351,0.135087,1.293862
0.352,0.131981,1.313621
0.353,0.128908,1.332995
0.354,0.125871,1.352018
0.355,0.122873,1.370718
0.356,0.119921,1.389123
0.357,0.117018,1.407255
0.358,0.114168,1.425132
0.359,0.111376,1.442772
0.36,0.108644,1.46019
0.361,0.105975,1.477398
0.362,0.103373,1.494408
0.363,0.100839,1.511229
0.364,0.098375,1.52787
