wavelength,n,k
0.2,0.12193333333333337,2.3020000000000005
0.2066,0.13,2.39
0.2156,0.141,2.51
0.2254,0.155,2.64
0.2362,0.172,2.79
0.248,0.19,2.94
0.261,0.209,3.11
0.2755,0.233,3.3
0.2917,0.261,3.51
0.3,0.276,3.61
0.31,0.294,3.74
0.3179,0.31,3.84
0.3263,0.326,3.95
0.3351,0.344,4.06
0.3444,0.364,4.17
0.35,0.375,4.24
0.3542,0.385,4.3
0.3647,0.407,4.43
0.3757,0.432,4.56
0.3875,0.46,4.71
0.4,0.49,4.86
0.4133,0.523,5.02
0.4275,0.558,5.2
0.4428,0.598,5.38
0.45,0.618,5.47
0.4592,0.644,5.58
0.4769,0.695,5.8
0.5,0.769,6.08
0.55,0.958,6.69
0.6,1.2,7.26
0.65,1.47,7.79
0.7,1.83,8.31
0.75,2.4,8.62
0.825,2.75,8.31
0.85,2.61,8.22
0.875,2.38,8.18
0.9,2.06,8.3
0.925,1.77,8.49
0.95,1.49,8.88
1.0,1.35,9.58
1.2,1.21,12.0
1.5,1.38,15.4
1.907,1.99,19.8
2.0,2.15,20.7
2.065,2.27,21.4
2.254,2.62,23.3
2.48,3.07,25.6
2.755,3.68,28.3
3.0,4.24,30.6
3.1,4.45,31.5
3.306,4.88,33.4
3.542,5.44,35.6
3.815,6.0,38.1
4.0,6.43,39.8
4.133,6.76,41.0
4.509,7.61,44.3
4.959,8.59,48.2
5.0,8.67,48.6
5.51,9.85,53.2
6.0,11.1,57.6
6.199,11.7,59.4
6.526,12.7,62.2
6.888,13.7,65.2
7.0,14.0,66.2
7.293,14.9,68.8
7.749,16.5,72.7
8.0,17.5,74.9
8.266,18.6,77.0
8.856,20.9,81.5
9.0,21.5,82.6
9.537,23.5,86.5
10.0,25.3,89.8
10.33,26.6,92.2
11.0,29.2,96.6
11.27,30.2,98.4
12.0,33.0,103.0
12.4,34.5,106.0
13.0,36.6,109.0
13.05,36.8,110.0
13.78,39.7,114.0
14.0,40.5,116.0
