Wavelength,n,k
0.21,1.74909,0.001667
0.211,1.7483,0.0016
0.212,1.74751,0.001536
0.213,1.74671,0.001475
0.214,1.74591,0.001417
0.215,1.74511,0.001362
0.216,1.7443,0.00131
0.217,1.74349,0.00126
0.218,1.74268,0.001212
0.219,1.74186,0.001167
0.22,1.74104,0.001123
0.221,1.74022,0.001082
0.222,1.7394,0.001042
0.223,1.73858,0.001005
0.224,1.73776,0.000969
0.225,1.73694,0.000934
0.226,1.73611,0.000901
0.227,1.73529,0.00087
0.228,1.73447,0.00084
0.229,1.73365,0.000811
0.23,1.73282,0.000783
0.231,1.732,0.000757
0.232,1.73118,0.000732
0.233,1.73037,0.000707
0.234,1.72955,0.000684
0.235,1.72873,0.000662
0.236,1.72792,0.00064
0.237,1.72711,0.00062
0.238,1.7263,0.0006
0.239,1.72549,0.000581
0.24,1.72469,0.000563
0.241,1.72388,0.000546
0.242,1.72309,0.000529
0.243,1.72229,0.000513
0.244,1.72149,0.000497
0.245,1.7207,0.000482
0.246,1.71991,0.000468
0.247,1.71913,0.000454
0.248,1.71835,0.000441
0.249,1.71757,0.000428
0.25,1.71679,0.000415
0.251,1.71602,0.000404
0.252,1.71525,0.000392
0.253,1.71448,0.000381
0.254,1.71372,0.00037
0.255,1.71296,0.00036
0.256,1.71221,0.00035
0.257,1.71146,0.000341
0.258,1.71071,0.000331
0.259,1.70996,0.000322
0.26,1.70922,0.000314
0.261,1.70849,0.000306
0.262,1.70776,0.000298
0.263,1.70703,0.00029
0.264,1.7063,0.000282
0.265,1.70558,0.000275
0.266,1.70487,0.000268
0.267,1.70415,0.000261
0.268,1.70345,0.000255
0.269,1.70274,0.000248
0.27,1.70204,0.000242
0.271,1.70134,0.000236
0.272,1.70065,0.00023
0.273,1.69996,0.000225
0.274,1.69928,0.000219
0.275,1.6986,0.000214
0.276,1.69792,0.000209
0.277,1.69725,0.000204
0.278,1.69658,0.000199
0.279,1.69591,0.000195
0.28,1.69525,0.00019
0.281,1.6946,0.000186
0.282,1.69395,0.000182
0.283,1.6933,0.000178
0.284,1.69265,0.000174
0.285,1.69201,0.00017
0.286,1.69138,0.000166
0.287,1.69074,0.000162
0.288,1.69012,0.000159
0.289,1.68949,0.000155
0.29,1.68887,0.000152
0.291,1.68825,0.000149
0.292,1.68764,0.000146
0.293,1.68704,0.000142
0.294,1.68643,0.000139
0.295,1.68583,0.000137
0.296,1.68523,0.000134
0.297,1.68464,0.000131
0.298,1.68405,0.000128
0.299,1.68347,0.000126
0.3,1.68288,0.000123
0.301,1.68231,0.000121
0.302,1.68173,0.000118
0.303,1.68116,0.000116
0.304,1.6806,0.000114
0.305,1.68003,0.000112
0.306,1.67948,0.000109
0.307,1.67892,0.000107
0.308,1.67837,0.000105
0.309,1.67782,0.000103
0.31,1.67728,0.000101
0.311,1.67674,0.000099
0.312,1.6762,0.000098
0.313,1.67567,0.000096
0.314,1.67514,0.000094
0.315,1.67461,0.000092
0.316,1.67409,0.000091
0.317,1.67357,0.000089
0.318,1.67305,0.000087
0.319,1.67254,0.000086
0.32,1.67203,0.000084
0.321,1.67153,0.000083
0.322,1.67102,0.000081
0.323,1.67053,0.00008
0.324,1.67003,0.000079
0.325,1.66954,0.000077
0.326,1.66905,0.000076
0.327,1.66856,0.000075
0.328,1.66808,0.000073
0.329,1.6676,0.000072
0.33,1.66713,0.000071
0.331,1.66665,0.00007
0.332,1.66619,0.000069
0.333,1.66572,0.000067
0.334,1.66525,0.000066
0.335,1.66479,0.000065
0.336,1.66434,0.000064
0.337,1.66388,0.000063
0.338,1.66343,0.000062
0.339,1.66298,0.000061
0.34,1.66254,0.00006
0.341,1.6621,0.000059
0.342,1.66166,0.000058
0.343,1.66122,0.000058
0.344,1.66079,0.000057
0.345,1.66036,0.000056
0.346,1.65993,0.000055
0.347,1.65951,0.000054
0.348,1.65909,0.000053
0.349,1.65867,0.000052
0.35,1.65825,0.000052
0.351,1.65784,0.000051
0.352,1.65743,0.00005
0.353,1.65702,0.000049
0.354,1.65661,0.000049
0.355,1.65621,0.000048
0.356,1.65581,0.000047
0.357,1.65541,0.000047
0.358,1.65502,0.000046
0.359,1.65463,0.000045
0.36,1.65424,0.000045
0.361,1.65385,0.000044
0.362,1.65347,0.000044
0.363,1.65308,0.000043
0.364,1.65271,0.000042
0.365,1.65233,0.000042
0.366,1.65195,0.000041
0.367,1.65158,0.000041
0.368,1.65121,0.00004
0.369,1.65085,0.00004
0.37,1.65048,0.000039
0.371,1.65012,0.000039
0.372,1.64976,0.000038
0.373,1.6494,0.000038
0.374,1.64905,0.000037
0.375,1.6487,0.000037
0.376,1.64834,0.000036
0.377,1.648,0.000036
0.378,1.64765,0.000035
0.379,1.64731,0.000035
0.38,1.64697,0.000034
0.381,1.64663,0.000034
0.382,1.64629,0.000033
0.383,1.64595,0.000033
0.384,1.64562,0.000033
0.385,1.64529,0.000032
0.386,1.64496,0.000032
0.387,1.64464,0.000031
0.388,1.64431,0.000031
0.389,1.64399,0.000031
0.39,1.64367,0.00003
0.391,1.64335,0.00003
0.392,1.64303,0.00003
0.393,1.64272,0.000029
0.394,1.64241,0.000029
0.395,1.6421,0.000029
0.396,1.64179,0.000028
0.397,1.64148,0.000028
0.398,1.64118,0.000028
0.399,1.64088,0.000027
0.4,1.64058,0.000027
0.401,1.64028,0.000027
0.402,1.63998,0.000026
0.403,1.63969,0.000026
0.404,1.63939,0.000026
0.405,1.6391,0.000025
0.406,1.63881,0.000025
0.407,1.63853,0.000025
0.408,1.63824,0.000025
0.409,1.63796,0.000024
0.41,1.63767,0.000024
0.411,1.63739,0.000024
0.412,1.63711,0.000024
0.413,1.63684,0.000023
0.414,1.63656,0.000023
0.415,1.63629,0.000023
0.416,1.63602,0.000023
0.417,1.63575,0.000022
