Wavelength,n,k
0.21,1.882541,2.313816
0.211,1.895671,2.316375
0.212,1.908786,2.318842
0.213,1.921886,2.321216
0.214,1.934968,2.323498
0.215,1.948033,2.325687
0.216,1.96108,2.327786
0.217,1.974107,2.329793
0.218,1.987115,2.33171
0.219,2.000102,2.333537
0.22,2.013068,2.335274
0.221,2.026011,2.336922
0.222,2.038932,2.338481
0.223,2.051829,2.339952
0.224,2.064702,2.341335
0.225,2.07755,2.342631
0.226,2.090372,2.343839
0.227,2.103168,2.344962
0.228,2.115937,2.345999
0.229,2.128678,2.34695
0.23,2.14139,2.347816
0.231,2.154073,2.348598
0.232,2.166727,2.349296
0.233,2.17935,2.349911
0.234,2.191942,2.350444
0.235,2.204503,2.350894
0.236,2.217031,2.351263
0.237,2.229526,2.35155
0.238,2.241988,2.351757
0.239,2.254416,2.351885
0.24,2.266808,2.351932
0.241,2.279166,2.351902
0.242,2.291487,2.351792
0.243,2.303773,2.351606
0.244,2.316021,2.351342
0.245,2.328232,2.351002
0.246,2.340405,2.350586
0.247,2.352539,2.350096
0.248,2.364634,2.34953
0.249,2.376689,2.34889
0.25,2.388705,2.348178
0.251,2.400679,2.347392
0.252,2.412613,2.346534
0.253,2.424505,2.345605
0.254,2.436355,2.344605
0.255,2.448163,2.343535
0.256,2.459928,2.342396
0.257,2.471649,2.341187
0.258,2.483327,2.339911
0.259,2.49496,2.338566
0.26,2.506549,2.337155
0.261,2.518093,2.335677
0.262,2.529591,2.334133
0.263,2.541044,2.332525
0.264,2.552451,2.330852
0.265,2.563811,2.329115
0.266,2.575124,2.327316
0.267,2.58639,2.325454
0.268,2.597609,2.32353
0.269,2.60878,2.321545
0.27,2.619903,2.319499
0.271,2.630977,2.317394
0.272,2.642003,2.31523
0.273,2.652979,2.313007
0.274,2.663906,2.310726
0.275,2.674784,2.308388
0.276,2.685612,2.305994
0.277,2.69639,2.303544
0.278,2.707117,2.301039
0.279,2.717794,2.298479
0.28,2.72842,2.295865
0.281,2.738995,2.293198
0.282,2.749519,2.290479
0.283,2.759991,2.287708
0.284,2.770412,2.284885
0.285,2.780781,2.282012
0.286,2.791098,2.279088
0.287,2.801363,2.276116
0.288,2.811575,2.273095
0.289,2.821735,2.270026
0.29,2.831843,2.266909
0.291,2.841897,2.263746
0.292,2.851899,2.260537
0.293,2.861848,2.257282
0.294,2.871744,2.253982
0.295,2.881587,2.250638
0.296,2.891376,2.247251
0.297,2.901112,2.243821
0.298,2.910794,2.240348
0.299,2.920423,2.236834
0.3,2.929998,2.233279
0.301,2.93952,2.229683
0.302,2.948988,2.226047
0.303,2.958402,2.222372
0.304,2.967762,2.218658
0.305,2.977068,2.214907
0.306,2.98632,2.211118
0.307,2.995519,2.207292
0.308,3.004663,2.20343
0.309,3.013754,2.199533
0.31,3.022791,2.1956
0.311,3.031773,2.191633
0.312,3.040702,2.187631
0.313,3.049577,2.183597
0.314,3.058398,2.17953
0.315,3.067165,2.17543
0.316,3.075878,2.171299
0.317,3.084537,2.167137
0.318,3.093143,2.162945
0.319,3.101695,2.158722
0.32,3.110193,2.15447
0.321,3.118637,2.150189
0.322,3.127028,2.14588
0.323,3.135366,2.141544
0.324,3.14365,2.137179
0.325,3.151881,2.132789
0.326,3.160058,2.128372
0.327,3.168182,2.123929
0.328,3.176254,2.119461
0.329,3.184272,2.114969
0.33,3.192237,2.110452
0.331,3.20015,2.105911
0.332,3.20801,2.101348
0.333,3.215817,2.096762
0.334,3.223572,2.092154
0.335,3.231275,2.087524
0.336,3.238925,2.082873
0.337,3.246523,2.078201
0.338,3.25407,2.073509
0.339,3.261564,2.068797
0.34,3.269007,2.064066
0.341,3.276399,2.059316
0.342,3.283739,2.054547
0.343,3.291028,2.049761
0.344,3.298265,2.044957
0.345,3.305452,2.040136
0.346,3.312588,2.035298
