,Count
Au,1424
Si,1409
SiO2,924
Ag,599
Al,412
Cu,406
Ti,332
Al2O3,286
ITO,255
Ge,229
TiO2,211
Cr,194
GaAs,157
VO2,157
W,145
PDMS,121
Si3N4,117
Pt,108
PMMA,107
Ni,98
TiN,94
GST,92
Te,91
MgF2,89
FR4,79
Sb,72
ZnO,67
SiC,66
Ge2Sb2Te5,59
ZnS,59
SiN,54
PET,53
Graphene,52
Pd,52
MoS2,51
FR-4,50
HfO2,47
C,46
glass,43
PI,38
InP,38
GeTe,37
PS,34
MXENE,34
Mo,33
a-Si,31
Mg,31
AZO,31
AlGaAs,31
Quartz,31
GaN,30
InGaAs,30
ZnSe,29
W18O19,28
InSb,28
AlN,28
Fe,28
CNT,27
SU-8,27
graphene,27
GR,26
CaF2,25
hBN,25
WS2,25
InAs,25
Ga,25
LiNbO3,24
SOI,24
In,24
Glass,23
Co,22
O,22
Ta2O5,22
BP,22
WO3,21
SiNx,21
HSQ,21
Ta,21
PEC,20
PEDOT,20
Se,19
F4B,19
GO,19
SRR,18
GaP,18
MgO,18
Sn,18
quartz,17
MoS,17
WSe2,17
polyimide,17
PbTe,16
Sb2Te3,16
BN,16
PSS,15
PVA,15
P3HT,15
CdS,15
GaSb,15
LC,15
PbS,15
h-BN,15
Fe3O4,14
PE,14
H,14
Ti3C2Tx,14
V2O5,13
Bi,13
PTFE,13
SU8,13
N,13
Nb,13
PPy,13
FTO,12
PANI,12
PVDF,12
Fe2O3,12
V,11
BaTiO2,11
PU,11
YIG,11
CdSe,11
MoSe2,10
ZnTe,10
Zn,10
SS,10
BK7,10
PCBM,9
CdTe,9
ZrN,9
NiCr,9
SrTiO2,9
RT,9
Zr,9
BaF2,8
DNA,8
CaF,8
MoO3,8
Gr,8
YBCO,8
PVP,8
ZrO2,8
SnO2,8
PEN,8
HgCdTe,8
-Si,8
BST,8
P,8
LiF,8
InGaAsP,7
As,7
PC,7
PVC,7
PCB,7
RGO,7
AAO,7
AlAs,7
Kapton,7
Bi2Te3,7
AlInAs,7
BCB,7
C60,7
PLA,6
As2Se3,6
CdO,6
SWNT,6
PP,6
GSST,6
SLG,6
GaSe,6
AgCl,6
PEI,6
GZO,6
Rh,6
SEBS,6
rGO,6
ZnS-SiO2,6
KBr,6
PMI,6
CNTs,5
Bi2Se3,5
PIN,5
Ar,5
Mn,5
PbSe,5
Er,5
duroid,5
WSe,5
Brass,5
YSZ,5
As2S3,5
NaCl,5
2,5
Ru,5
CeO2,5
MgO-TiO2,5
PCM,5
Sb2S3,5
AgNW,5
Steel,5
Ti3C2,5
Na,5
Y,5
CuO,5
Teflon,5
PDA,5
PMP,4
5CB,4
K,4
Sb2Se3,4
In2O3,4
ErAs,4
PAH,4
PTCBI,4
MoO,4
In3SbTe2,4
SD1,4
Cr2O3,4
Diamond,4
Resin,4
SLM,4
ANF,4
InAsSb,4
Rogers,4
GRAPHENE,4
Hg,4
F,4
Ti3AlC2,4
SWCNTs,4
Rohacell,4
STO,4
NiO,4
MgF,4
RO4003,4
Mylar,4
CH3NH3PbI3,4
LiTaO3,4
CB,4
HfN,4
PVK,3
GLS,3
PES,3
LiClO4,3
LiOH,3
CF,3
EGaIn,3
VdF-HFP,3
CA,3
