wavelength,n,k
0.2,1.844788228,0.0049786
0.202927,1.836267841,0.004418137
0.205277,1.828344947,0.003925967
0.207654,1.820941985,0.003493295
0.210058,1.813998537,0.003112481
0.212491,1.807465853,0.002776898
0.214951,1.801303579,0.002480799
0.21744,1.795477657,0.002219203
0.219958,1.789958902,0.001987787
0.222505,1.784722006,0.0017828
0.225082,1.779744798,0.001600983
0.227688,1.775007698,0.001439503
0.230324,1.770493294,0.001295893
0.232991,1.766186006,0.001168006
0.235689,1.762071825,0.001053967
0.238418,1.758138095,0.000952143
0.241179,1.754373336,0.000861102
0.243972,1.750767099,0.000779594
0.246797,1.747309839,0.000706523
0.249655,1.743992815,0.000640929
0.252546,1.740807999,0.000581967
0.25547,1.737747999,0.000528896
0.258428,1.734805991,0.000481064
0.261421,1.731975668,0.000437895
0.264448,1.729251181,0.000398882
0.26751,1.726627103,0.000363577
0.270608,1.724098383,0.000331585
0.273741,1.721660317,0.000302554
0.276911,1.719308515,0.000276175
0.280117,1.717038874,0.000252171
0.283361,1.714847554,0.000230298
0.286642,1.712730957,0.000210338
0.289961,1.710685704,0.000192098
0.293319,1.708708623,0.000175406
0.296715,1.706796726,0.000160106
0.300151,1.704947203,0.000146063
0.303627,1.703157402,0.000133152
0.307142,1.701424819,0.000121265
0.310699,1.699747089,0.000110302
0.314297,1.698121975,0.000100174
0.317936,1.696547359,9.08036E-05
0.321618,1.695021232,8.21183E-05
0.325342,1.693541691,7.4054E-05
0.329109,1.692106927,6.65529E-05
0.33292,1.690715221,5.95628E-05
0.336775,1.689364938,5.30367E-05
0.340675,1.688054521,4.69321E-05
0.34462,1.686782487,4.12103E-05
0.34861,1.68554742,3.58366E-05
0.352647,1.684347966,3.07793E-05
0.35673,1.683182833,2.60096E-05
0.360861,1.682050778,2.15016E-05
0.36504,1.680950608,1.72315E-05
0.369266,1.679881169,1.31777E-05
0.373542,1.678841334,9.32036E-06
0.377868,1.677829971,5.64161E-06
0.382243,1.676845826,2.12495E-06
0.386669,1.675886849,0
0.391147,1.674955569,0
0.395676,1.674050354,0
0.400258,1.673169943,0
0.404893,1.672313381,0
0.409581,1.671479816,0
0.414324,1.670668458,0
0.419121,1.669878564,0
0.423975,1.669109424,0
0.428884,1.668360365,0
0.43385,1.66763074,0
0.438874,1.666919929,0
0.443956,1.666227337,0
0.449097,1.665552392,0
0.454297,1.664894542,0
0.459558,1.664253258,0
0.464879,1.663628027,0
0.470262,1.663018358,0
0.475707,1.662423773,0
0.481216,1.661843814,0
0.486788,1.661278036,0
0.492425,1.660726012,0
0.498127,1.660187327,0
0.503895,1.659661579,0
0.50973,1.659148382,0
0.515632,1.658647359,0
0.521603,1.658158146,0
0.527643,1.657680393,0
0.533752,1.657213757,0
0.539933,1.656757908,0
0.546185,1.656312525,0
0.55251,1.655877298,0
0.558907,1.655451923,0
0.565379,1.655036109,0
0.571926,1.654629571,0
0.578549,1.654232032,0
0.585248,1.653843224,0
0.592025,1.653462886,0
0.59888,1.653090764,0
0.605815,1.652726611,0
0.61283,1.652370189,0
0.619926,1.652021262,0
