wavelength,n,k
0.2,0.8475000000000003,1.3837500000000003
0.2066,1.04,1.59
0.2114,1.18,1.74
0.2138,1.1,1.67
0.2296,1.28,1.78
0.2384,1.38,1.8
0.248,1.47,1.78
0.2583,1.53,1.71
0.2695,1.52,1.67
0.2818,1.49,1.64
0.2952,1.42,1.64
0.3099,1.34,1.72
0.3263,1.34,1.81
0.3444,1.31,1.87
0.3646,1.27,1.95
0.3874,1.18,2.21
0.4133,1.18,2.21
0.4428,1.17,2.36
0.4768,1.15,2.5
0.5166,1.12,2.6
0.539,1.04,2.59
0.5635,0.826,2.6
0.5904,0.468,2.81
0.6199,0.272,3.24
0.6525,0.214,3.67
0.6702,0.215,3.86
0.6888,0.213,4.05
0.7084,0.214,4.24
0.7293,0.223,4.43
0.8265,0.26,5.26
1.24,0.433,8.46
1.265,0.496,6.78
1.291,0.505,6.92
1.319,0.515,7.06
1.348,0.525,7.21
1.378,0.536,7.36
1.409,0.547,7.53
1.442,0.559,7.7
1.476,0.572,7.88
1.512,0.586,8.06
1.55,0.606,8.26
1.589,0.627,8.47
1.631,0.649,8.69
1.675,0.672,8.92
1.722,0.697,9.16
1.771,0.723,9.41
1.823,0.752,9.68
1.878,0.782,9.97
1.937,0.815,10.3
2.0,0.85,10.6
2.066,0.89,11.0
2.138,0.933,11.3
2.214,0.98,11.8
2.296,1.03,12.2
2.384,1.09,12.7
2.48,1.15,13.2
2.583,1.22,13.7
2.695,1.29,14.4
2.818,1.37,15.0
2.952,1.47,15.7
3.1,1.59,16.5
3.263,1.73,17.4
3.444,1.9,18.4
3.646,2.09,19.6
3.874,2.32,20.8
4.133,2.59,22.2
4.428,2.92,23.7
4.768,3.32,25.4
5.166,3.81,27.5
5.635,4.44,30.0
6.199,5.23,33.0
6.888,6.23,36.3
7.749,7.66,40.3
8.265,8.57,42.6
8.856,9.64,45.1
9.537,10.8,47.5
14.0,18.402173274596173,63.228634361233446
