wavelength,n,k
0.199453,2.893416371,0.255929527
0.200028,2.885159332,0.245289101
0.200604,2.876837406,0.234973825
0.201182,2.868460797,0.224976704
0.201762,2.86003901,0.215290697
0.202344,2.851580886,0.205908751
0.202927,2.843094642,0.19682384
0.203512,2.834587902,0.188028988
0.204099,2.826067739,0.179517296
0.204687,2.817540706,0.171281966
0.205277,2.809012871,0.163316315
0.205868,2.80048985,0.155613794
0.206462,2.79197684,0.148167998
0.207057,2.783478646,0.140972681
0.207654,2.774999711,0.134021759
0.208252,2.766544146,0.127309319
0.208853,2.758115755,0.120829627
0.209455,2.749718056,0.114577126
0.210058,2.741354314,0.108546444
0.210664,2.733027553,0.102732389
0.211271,2.724740586,0.097129955
0.21188,2.716496032,0.09173432
0.212491,2.708296334,0.086540841
0.213103,2.700143782,0.081545058
0.213717,2.692040524,0.076742686
0.214333,2.683988589,0.072129616
0.214951,2.675989902,0.067701911
0.215571,2.668046295,0.0634558
0.216192,2.660159529,0.059387678
0.216815,2.652331301,0.055494099
0.21744,2.644563263,0.051771773
0.218067,2.636857036,0.048217562
0.218696,2.629214221,0.044828477
0.219326,2.621636414,0.041601668
0.219958,2.614125221,0.038534428
0.220592,2.606682268,0.035624181
0.221228,2.599309223,0.032868483
0.221866,2.592007804,0.030265013
0.222505,2.5847798,0.027811573
0.223146,2.577627089,0.025506081
0.22379,2.570551656,0.023346566
0.224435,2.563555617,0.021331168
0.225082,2.556641244,0.019458128
0.22573,2.549811001,0.01772579
0.226381,2.543067572,0.016132591
0.227033,2.536413919,0.014677064
0.227688,2.529853331,0.013357828
0.228344,2.523389509,0.012173586
0.229002,2.517026665,0.011123125
0.229662,2.510769677,0.010205308
0.230324,2.504624305,0.00941907
0.230988,2.498597547,0.008763418
0.231654,2.49269825,0.008237422
0.232322,2.486938355,0.00784021
0.232991,2.481336115,0.007570954
0.233663,2.47593452,0.007423284
0.234336,2.470757859,0.007308534
0.235012,2.465747161,0.007196317
0.235689,2.460877527,0.007086826
0.236369,2.456133763,0.006980253
0.23705,2.451504798,0.006876805
0.237733,2.446981902,0.006776715
0.238418,2.442557874,0.006680247
0.239106,2.438226598,0.006587702
0.239795,2.433982772,0.006499418
0.240486,2.429821737,0.006415772
0.241179,2.425739358,0.006337185
0.241874,2.421731943,0.006264118
0.242572,2.417796185,0.006197072
0.243271,2.413929115,0.006136586
0.243972,2.410128073,0.006083231
0.244675,2.406390685,0.006037607
0.24538,2.402714842,0.006000335
0.246088,2.399098691,0.005972045
0.246797,2.395540617,0.005953369
0.247508,2.392039242,0.005944925
0.248222,2.388593409,0.005947307
0.248937,2.385202175,0.005961062
0.249655,2.381864806,0.005986683
0.250374,2.378580757,0.006024583
0.251096,2.375349667,0.00607508
0.25182,2.372171342,0.006138383
0.252546,2.369045736,0.006214566
0.253274,2.365972933,0.006303561
0.254004,2.362953122,0.006405135
0.254736,2.359986579,0.006518885
0.25547,2.357073633,0.006644223
0.256206,2.354214641,0.006780371
0.256945,2.351409958,0.00692636
0.257685,2.348659907,0.007081028
0.258428,2.345964747,0.007243029
0.259173,2.343324642,0.007410842
0.25992,2.340739636,0.007582782
0.260669,2.338209622,0.007757026
0.261421,2.335734318,0.007931628
0.262174,2.333313249,0.008104551
0.26293,2.330945729,0.008273695
0.263688,2.328630845,0.008436926
0.264448,2.326367457,0.008592117
0.26521,2.324154189,0.008737175
0.265974,2.321989435,0.008870083
0.266741,2.31987137,0.008988929
0.26751,2.317797956,0.00909194
0.268281,2.315766972,0.009177515
0.269054,2.313776025,0.009244249
0.26983,2.311822586,0.009290958
0.270608,2.309904014,0.009316697
0.271388,2.308017594,0.009320776
0.27217,2.306160563,0.009302766
0.272954,2.304330152,0.009262506
0.273741,2.302523619,0.009200102
0.27453,2.300738279,0.009115916
0.275321,2.298971542,0.009010563
0.276115,2.297220936,0.008884887
