wavelength,n,k
0.2,1.9572,0.000087163
0.20141,1.9501,0.000082259
0.20297,1.9432,0.000077442
0.20457,1.9365,0.000072742
0.20618,1.9301,0.000068187
0.20782,1.9238,0.00006381
0.20949,1.9178,0.00005964
0.21119,1.912,0.000055707
0.21291,1.9063,0.000052041
0.21466,1.9008,0.000048668
0.21645,1.8955,0.000045609
0.21826,1.8903,0.00004288
0.2201,1.8853,0.00004049
0.22197,1.8804,0.000038437
0.22387,1.8757,0.000036707
0.22581,1.8711,0.000035273
0.22778,1.8666,0.000034096
0.22979,1.8622,0.000033125
0.23183,1.858,0.0000323
0.23391,1.8538,0.000031554
0.23603,1.8498,0.000030821
0.23818,1.8458,0.000030039
0.24038,1.842,0.000029156
0.24261,1.8382,0.000028139
0.24489,1.8346,0.00002697
0.24721,1.831,0.000025659
0.24957,1.8275,0.000024233
0.25198,1.8241,0.000022742
0.25444,1.8207,0.000021247
0.25695,1.8175,0.000019817
0.2595,1.8143,0.000018515
0.26211,1.8112,0.000017389
0.26477,1.8081,0.000016469
0.26749,1.8052,0.000015751
0.27026,1.8022,0.000015206
0.27309,1.7994,0.000014776
0.27597,1.7966,0.000014386
0.27892,1.7939,0.000013958
0.28194,1.7912,0.00001342
0.28502,1.7886,0.000012719
0.28817,1.786,0.000011831
0.29139,1.7835,0.000010764
0.29468,1.7811,9.5535E-06
0.29804,1.7787,8.2546E-06
0.30149,1.7763,6.9343E-06
0.30501,1.774,5.6581E-06
0.30862,1.7717,4.4823E-06
0.31231,1.7695,0.000003447
0.3161,1.7674,2.5738E-06
0.31997,1.7652,1.8672E-06
0.32395,1.7632,1.3176E-06
0.32802,1.7611,9.0611E-07
0.3322,1.7591,6.0894E-07
0.33648,1.7572,4.0154E-07
0.34088,1.7553,2.6125E-07
0.34539,1.7534,1.6895E-07
0.35003,1.7516,1.096E-07
0.35479,1.7498,7.2062E-08
0.35968,1.748,4.8479E-08
0.3647,1.7463,3.3602E-08
0.36987,1.7446,2.4048E-08
0.37519,1.7429,1.7728E-08
0.38067,1.7413,1.3386E-08
0.3863,1.7397,1.0283E-08
0.39211,1.7382,7.9856E-09
0.39809,1.7367,6.2395E-09
0.40426,1.7352,4.8878E-09
0.41062,1.7337,3.8303E-09
0.41719,1.7323,2.9984E-09
0.42397,1.7309,2.3429E-09
0.43097,1.7295,1.8266E-09
0.43821,1.7282,1.4205E-09
0.4457,1.7269,1.1018E-09
0.45345,1.7256,8.523E-10
0.46147,1.7244,6.5753E-10
0.46978,1.7232,5.0589E-10
0.47839,1.722,3.8815E-10
0.48733,1.7208,2.9701E-10
0.4966,1.7197,2.2665E-10
0.50624,1.7185,1.7249E-10
0.51625,1.7175,1.3091E-10
0.52668,1.7164,9.9084E-11
0.53753,1.7154,7.479E-11
0.54884,1.7144,5.6298E-11
0.56063,1.7134,4.2263E-11
0.57294,1.7124,3.1641E-11
0.58581,1.7115,2.3625E-11
0.59926,1.7106,1.7591E-11
0.61335,1.7097,1.3062E-11
0.62812,1.7088,9.673E-12
0.64361,1.708,7.1436E-12
0.65989,1.7072,5.2613E-12
0.67701,1.7064,3.8645E-12
0.69505,1.7056,2.8308E-12
0.71407,1.7049,2.0679E-12
0.73417,1.7041,1.5065E-12
0.75543,1.7034,1.0945E-12
0.77795,1.7028,7.9302E-13
0.80186,1.7021,5.7304E-13
0.82729,1.7015,4.1295E-13
0.85438,1.7008,2.9677E-13
0.88331,1.7002,2.1269E-13
0.91426,1.6997,1.5202E-13
0.94747,1.6991,1.0835E-13
0.98317,1.6986,7.7026E-14
1.0217,1.6981,5.4606E-14
1.0633,1.6976,3.8606E-14
1.1085,1.6971,2.722E-14
1.1577,1.6967,1.9139E-14
1.2114,1.6962,1.3421E-14
1.2704,1.6958,9.3854E-15
1.3355,1.6955,6.5457E-15
1.4075,1.6951,4.5528E-15
1.4878,1.6947,3.1579E-15
1.5777,1.6944,2.1844E-15
1.6793,1.6941,1.5069E-15
1.7948,1.6938,1.0367E-15
1.9274,1.6935,7.1129E-16
2.0811,1.6933,4.8669E-16
2.2616,1.6931,3.321E-16
2.4762,1.6928,2.2597E-16
2.7359,1.6927,1.5333E-16
3.0564,1.6925,1.0372E-16
3.4619,1.6923,6.9933E-17
3.9916,1.6922,4.6959E-17
4.7126,1.6921,3.1344E-17
5.7515,1.692,2.0707E-17
7.378,1.6919,1.3401E-17
10.287,1.6918,8.275E-18
14,1.6918,4.5085E-18
