wavelength,n,k
0.2,0.813,2.5
0.2033,0.836,2.57
0.2066,0.85,2.64
0.2101,0.873,2.72
0.2138,0.895,2.8
0.2175,0.924,2.89
0.2214,0.959,2.99
0.2254,1.0,3.09
0.2296,1.06,3.2
0.2339,1.13,3.31
0.2384,1.22,3.42
0.2431,1.33,3.53
0.248,1.46,3.62
0.253,1.61,3.7
0.2583,1.75,3.76
0.2638,1.9,3.81
0.2695,2.06,3.84
0.2755,2.21,3.87
0.2818,2.39,3.88
0.2883,2.59,3.86
0.2952,2.77,3.77
0.3024,2.91,3.67
0.31,3.01,3.51
0.3179,3.04,3.4
0.3263,3.04,3.31
0.3351,3.04,3.27
0.3444,3.05,3.24
0.3542,3.06,3.21
0.3647,3.06,3.19
0.3757,3.06,3.18
0.3875,3.05,3.18
0.4,3.03,3.22
0.4133,3.04,3.27
0.4275,3.05,3.33
0.4428,3.08,3.42
0.4592,3.13,3.51
0.4769,3.22,3.61
0.4959,3.36,3.73
0.5166,3.59,3.78
0.5391,3.79,3.61
0.5636,3.76,3.41
0.5904,3.68,3.45
0.6199,3.68,3.52
0.6526,3.74,3.58
0.6888,3.81,3.58
0.7293,3.84,3.51
0.7749,3.77,3.41
0.8266,3.53,3.3
0.8856,3.15,3.4
0.9537,2.77,3.74
1.033,2.44,4.22
1.127,2.16,4.85
1.24,1.94,5.58
1.378,1.74,6.48
1.442,1.7,6.9
1.512,1.64,7.35
1.59,1.6,7.83
1.675,1.52,8.38
1.771,1.48,8.99
1.879,1.43,9.67
2.0,1.38,10.4
2.138,1.34,11.3
2.296,1.35,12.4
2.48,1.37,13.5
2.695,1.46,14.9
2.952,1.57,16.5
3.263,1.7,18.4
3.647,1.99,20.8
4.133,2.44,23.8
4.275,2.58,24.7
4.428,2.74,25.6
4.592,2.92,26.6
4.769,3.14,27.6
4.959,3.36,28.8
5.166,3.61,30.0
5.391,3.92,31.3
5.636,4.26,32.7
5.904,4.65,34.3
6.109,5.1,36.0
6.526,5.61,37.8
6.888,6.21,39.9
7.293,6.9,42.2
7.749,7.74,44.7
8.266,8.78,47.5
8.856,9.96,50.7
9.537,11.4,54.4
10.33,13.4,58.4
11.27,15.6,63.1
12.4,18.5,68.5
14.0,22.606194690265482,76.14601769911503
