wavelength,n,k
0.2,1.0,1.54
0.2101,1.02,1.67
0.2138,1.04,1.73
0.2175,1.06,1.78
0.2214,1.09,1.83
0.2254,1.12,1.88
0.2296,1.16,1.94
0.2339,1.21,1.99
0.2384,1.27,2.04
0.2431,1.33,2.07
0.248,1.4,2.1
0.253,1.47,2.11
0.2583,1.53,2.11
0.2638,1.59,2.1
0.2695,1.63,2.09
0.2755,1.67,2.07
0.2818,1.71,2.06
0.2883,1.73,2.03
0.2952,1.74,2.01
0.3024,1.74,1.99
0.31,1.73,1.98
0.3179,1.72,1.98
0.3263,1.69,1.99
0.3351,1.66,2.02
0.3444,1.64,2.07
0.3542,1.63,2.11
0.3647,1.62,2.17
0.3757,1.61,2.23
0.3875,1.61,2.3
0.4,1.61,2.36
0.4133,1.61,2.44
0.4275,1.62,2.52
0.4428,1.62,2.61
0.4592,1.64,2.71
0.4769,1.66,2.81
0.4959,1.67,2.93
0.5166,1.71,3.06
0.5391,1.75,3.19
0.5636,1.8,3.33
0.5904,1.85,3.48
0.6199,1.93,3.65
0.6358,1.98,3.74
0.6526,2.02,3.82
0.6702,2.08,3.91
0.6888,2.14,4.0
0.7085,2.21,4.09
0.7293,2.28,4.18
0.7514,2.36,4.25
0.7749,2.43,4.31
0.7999,2.48,4.38
0.8266,2.53,4.47
0.8551,2.59,4.55
0.8856,2.65,4.63
0.9184,2.69,4.73
0.9537,2.74,4.85
0.9919,2.8,4.97
1.033,2.85,5.1
1.078,2.91,5.24
1.127,2.97,5.38
1.181,3.01,5.55
1.24,3.06,5.74
1.305,3.11,5.98
1.378,3.18,6.23
1.459,3.27,6.51
1.55,3.38,6.82
1.653,3.49,7.13
1.771,3.59,7.48
1.907,3.69,7.92
2.066,3.84,8.35
2.254,3.9,8.92
2.48,4.03,9.64
2.755,4.2,10.2
3.1,3.84,11.4
3.263,3.92,12.1
3.444,4.0,12.7
3.647,4.07,13.4
3.875,4.12,14.2
4.133,4.19,15.0
4.428,4.3,16.0
4.769,4.29,17.1
5.166,4.16,18.4
5.636,4.11,20.2
6.199,4.12,22.5
6.526,4.3,23.8
6.888,4.45,25.2
7.293,4.68,26.8
7.749,5.0,28.6
8.266,5.45,30.6
8.856,5.83,32.8
9.537,6.44,35.3
10.33,7.11,38.3
11.27,8.12,41.8
12.4,9.54,45.8
14.0,11.550619469026547,51.463716814159284
