wavelength,n,k
0.2,1.4309999999999978,1.529999999999999e-06
0.4,1.4076,1.33e-06
0.41,1.40643,1.32e-06
0.42,1.40555,1.32e-06
0.43,1.40426,1.33e-06
0.44,1.40348,1.34e-06
0.45,1.40293,1.34e-06
0.46,1.4018,1.35e-06
0.47,1.40135,1.36e-06
0.48,1.40034,1.37e-06
0.49,1.39995,1.39e-06
0.5,1.39951,1.38e-06
0.51,1.39897,1.4e-06
0.52,1.39836,1.39e-06
0.53,1.39765,1.39e-06
0.54,1.39743,1.4e-06
0.55,1.39693,1.42e-06
0.56,1.39652,1.41e-06
0.57,1.39621,1.43e-06
0.58,1.39557,1.44e-06
0.59,1.39459,1.43e-06
0.6,1.39456,1.45e-06
0.61,1.3944,1.44e-06
0.62,1.39391,1.46e-06
0.63,1.39349,1.45e-06
0.64,1.39322,1.46e-06
0.65,1.39292,1.46e-06
0.66,1.39285,1.44e-06
0.67,1.39274,1.45e-06
0.68,1.39222,1.46e-06
0.69,1.39238,1.44e-06
0.7,1.3919,1.47e-06
0.71,1.39145,1.47e-06
0.72,1.39122,1.48e-06
0.73,1.3909,1.49e-06
0.74,1.39056,1.54e-06
0.75,1.39047,1.49e-06
0.76,1.38977,1.51e-06
0.77,1.38945,1.51e-06
0.78,1.38958,1.5e-06
0.79,1.38919,1.47e-06
0.8,1.38891,1.49e-06
0.81,1.3883,1.51e-06
0.82,1.38942,1.42e-06
0.83,1.38978,1.46e-06
0.84,1.38879,1.43e-06
0.85,1.38959,1.57e-06
0.86,1.38962,1.52e-06
0.87,1.38936,1.99e-06
0.88,1.38917,2.3e-06
0.89,1.38917,2.02e-06
0.9,1.38903,2.11e-06
0.91,1.38899,2.18e-06
0.92,1.38875,2.43e-06
0.93,1.38874,2e-06
0.94,1.38851,2.01e-06
0.95,1.38838,2.08e-06
0.96,1.38847,2.34e-06
0.97,1.38834,2.38e-06
0.98,1.38813,2.34e-06
0.99,1.38806,2.23e-06
1.0,1.38818,2.52e-06
1.01,1.38828,2.18e-06
1.02,1.38842,2.38e-06
