wavelength,n,k
0.2,0.8382608695652173,1.5206521739130436
0.2073,0.87,1.6
0.2119,0.89,1.65
0.2164,0.91,1.7
0.2214,0.92,1.76
0.2263,0.94,1.81
0.2313,0.97,1.86
0.2371,1.0,1.91
0.2426,1.04,1.95
0.249,1.08,1.99
0.2551,1.11,2.03
0.2616,1.13,2.07
0.2689,1.16,2.1
0.2761,1.19,2.13
0.2844,1.18,2.18
0.2924,1.18,2.23
0.3009,1.2,2.29
0.3107,1.21,2.35
0.3204,1.21,2.42
0.3315,1.2,2.5
0.3425,1.22,2.57
0.3542,1.23,2.65
0.3679,1.24,2.74
0.3815,1.26,2.83
0.3974,1.3,2.93
0.4133,1.33,3.03
0.4305,1.37,3.14
0.4509,1.41,3.26
0.4714,1.46,3.39
0.4959,1.52,3.54
0.5209,1.57,3.68
0.5486,1.64,3.84
0.5821,1.68,4.02
0.6168,1.75,4.21
0.6595,1.8,4.42
0.7045,1.86,4.65
0.756,1.95,4.89
0.8211,2.06,5.19
0.892,2.33,5.5
0.984,2.34,5.89
1.088,2.52,6.33
1.215,2.66,6.9
1.393,2.8,7.65
1.61,3.01,8.59
1.937,3.34,9.89
2.066,3.8,9.96
2.138,3.85,10.23
2.214,3.92,10.49
2.296,3.97,10.79
2.384,4.03,11.1
2.48,4.1,11.44
2.583,4.2,11.77
2.695,4.27,12.11
2.818,4.31,12.46
2.952,4.31,12.85
3.1,4.27,13.27
3.263,4.17,13.77
3.444,3.98,14.41
3.647,3.8,15.18
3.875,3.56,16.21
4.133,3.56,17.27
4.428,3.3,18.52
4.769,3.11,20.15
5.166,3.15,21.97
5.636,3.1,24.06
6.199,3.07,26.59
6.526,3.07,28.09
6.888,3.15,29.71
7.293,3.2,31.46
7.749,3.17,33.45
8.266,3.13,35.82
8.856,3.11,38.48
9.537,3.36,41.52
10.33,3.6,45.08
11.27,3.85,49.21
12.4,4.13,54.15
14.0,4.52646017699115,61.144690265486716
