wavelength,n,k
0.2,0.995918058,2.76097397
0.20059,1.001780681,2.769475973
0.201053,1.007678893,2.778007127
0.201516,1.013613387,2.786568522
0.201981,1.019583156,2.795165902
0.202446,1.025590501,2.803795898
0.202913,1.0316348,2.812463166
0.203381,1.037718867,2.821162986
0.20385,1.043843388,2.829896479
0.20432,1.050007545,2.838668854
0.204791,1.056215707,2.847471313
0.205263,1.062464209,2.856316805
0.205736,1.068756125,2.86520013
0.20621,1.075092204,2.874122427
0.206685,1.081473875,2.883083097
0.207162,1.087901923,2.892083358
0.207639,1.094376323,2.901126692
0.208118,1.100898169,2.910213728
0.208598,1.10746996,2.919341579
0.209079,1.114090077,2.928518439
0.209561,1.120760705,2.93774274
0.210044,1.127483984,2.947013415
0.210528,1.134259433,2.956336722
0.211013,1.141091344,2.96570704
0.2115,1.14797627,2.975139657
0.211987,1.154917786,2.984632515
0.212476,1.16192015,2.994183082
0.212966,1.168983113,3.003801999
0.213457,1.176111322,3.013489202
0.213949,1.183306804,3.023253716
0.214442,1.190574265,3.033100562
0.214936,1.19791868,3.043037493
0.215432,1.205349493,3.053064926
0.215928,1.212874576,3.063191947
0.216426,1.220502039,3.0734322
0.216925,1.228247128,3.08378704
0.217425,1.236126478,3.094260474
0.217926,1.244156068,3.104864383
0.218429,1.252359596,3.115597442
0.218932,1.26076089,3.126463609
0.219437,1.269387947,3.137461053
0.219943,1.278271915,3.148583198
0.22045,1.287445741,3.159819948
0.220958,1.296946748,3.171148615
0.221467,1.306810386,3.182545932
0.221978,1.317069864,3.19398492
0.22249,1.327762178,3.20541591
0.223003,1.338914393,3.216795193
0.223517,1.350552255,3.228059435
0.224032,1.362691171,3.239142883
0.224548,1.375338256,3.249968385
0.225066,1.388487063,3.26045663
0.225585,1.402119064,3.270520389
0.226105,1.416197578,3.280077785
0.226626,1.43067437,3.289037452
0.227149,1.445479737,3.297323679
0.227672,1.460531961,3.304858368
0.228197,1.475729176,3.31158501
0.228723,1.490961815,3.317447306
0.22925,1.506102532,3.322419921
0.229779,1.521019281,3.326488129
0.230308,1.535574396,3.329659567
0.230839,1.549624302,3.331974332
0.231372,1.563035556,3.333479669
0.231905,1.575676847,3.334256147
0.232439,1.587430251,3.334401215
0.232975,1.598189137,3.334039928
0.233512,1.607869415,3.333305929
0.234051,1.616408427,3.332346621
0.23459,1.623766522,3.331320537
0.235131,1.629925504,3.33039896
0.235673,1.634901,3.32973705
0.236216,1.638725253,3.32950358
0.236761,1.641460728,3.329845923
0.237307,1.643189862,3.330902358
0.237854,1.644013525,3.332795542
0.238402,1.644046549,3.335631394
0.238952,1.64341749,3.339489311
0.239502,1.642261759,3.344426175
0.240055,1.640714752,3.350481264
0.240608,1.638910454,3.357671252
0.241163,1.636981412,3.365983865
0.241718,1.63504507,3.375401249
0.242276,1.633212274,3.385879699
0.242834,1.631577391,3.397368952
0.243394,1.630221743,3.409805722
0.243955,1.629208944,3.423125473
0.244517,1.628591002,3.437252932
0.245081,1.628400149,3.452123402
0.245646,1.628660245,3.46766351
0.246212,1.629380727,3.483808987
0.24678,1.6305585,3.500505872
0.247349,1.63218562,3.517699021
0.247919,1.634244003,3.535348055
0.248491,1.636712116,3.553417216
0.249063,1.63956299,3.571883361
0.249638,1.642770079,3.5907265
0.250213,1.646302455,3.609942998
0.25079,1.650133486,3.629528958
0.251368,1.654234696,3.649495599
0.251947,1.658582133,3.669856958
0.252528,1.66315427,3.690635912
0.25311,1.667932787,3.711863778
0.253694,1.672904965,3.733576193
0.254279,1.678065631,3.755809924
0.254865,1.683410497,3.778618897
0.255452,1.688948141,3.802048602
0.256041,1.694691522,3.82615622
0.256631,1.700661899,3.851003045
0.257223,1.70689232,3.876647676
0.257816,1.713423629,3.903155989
0.25841,1.720310219,3.930588838
0.259006,1.727616764,3.959009828
