wavelength,n,k
0.2,2.6792912,2.181084077
0.20804372,2.7743042,2.11993073
0.214206718,2.8564306,2.063767197
0.220359729,2.9299705,2.010589999
0.226512744,2.9986569,1.962455817
0.232675743,3.0656025,1.915363583
0.238828757,3.1308859,1.868300053
0.244981768,3.1953921,1.820116136
0.251134778,3.2592396,1.768408073
0.257297781,3.3212387,1.710910526
0.263450793,3.3773939,1.645406681
0.269603805,3.4231566,1.574724484
0.275766805,3.458462,1.505003297
0.281919815,3.4851767,1.437388964
0.288072825,3.5039752,1.373241195
0.294225837,3.5171971,1.315458562
0.300388841,3.5280436,1.262939901
0.306541853,3.5370883,1.213536537
0.31269486,3.544201,1.167685697
0.318857862,3.5510013,1.125813326
0.325020863,3.5581008,1.085244498
0.331173878,3.5642136,1.045569768
0.337326888,3.5695972,1.008307278
0.343479899,3.5762999,0.973062249
0.349632913,3.5856439,0.936567855
0.355795913,3.5936786,0.892652532
0.36194892,3.5919315,0.843207961
0.36810194,3.5791865,0.80060587
0.37426494,3.5636482,0.769747057
0.380417954,3.5510396,0.745028354
0.386580948,3.5410021,0.722577675
0.392733962,3.532574,0.701999197
0.398876978,3.5254215,0.68256958
0.405039978,3.5189385,0.663751268
0.411192998,3.5127088,0.645834016
0.417346006,3.5066925,0.629067772
0.423518999,3.5013541,0.613633422
0.42967201,3.4969124,0.59869744
0.435825025,3.4928288,0.583891851
0.441988027,3.4888334,0.569542066
0.448131044,3.4849406,0.555725725
0.454294049,3.4812111,0.542556889
0.46043707,3.4780215,0.530097196
0.466600073,3.4754387,0.517591068
0.472763076,3.4728205,0.50456775
0.478926062,3.4696288,0.491721633
0.485079089,3.4662185,0.479719053
0.491232102,3.4629485,0.468150355
0.497385095,3.4597277,0.456854865
0.503538121,3.4565516,0.445935685
0.509691132,3.4533993,0.435204451
0.515844145,3.450185,0.424759625
0.521997144,3.4469546,0.414641827
0.52817015,3.4436978,0.404736789
0.534323144,3.4403908,0.395144088
0.540476158,3.437019,0.385874485
0.546629171,3.4336912,0.377029425
0.552782195,3.4304673,0.368412981
0.558945187,3.4272675,0.359993467
0.565108184,3.4241282,0.351845968
0.571261194,3.4210106,0.343808609
0.577414214,3.4178021,0.335996242
0.583567237,3.4146264,0.328573505
0.589740215,3.4116403,0.32135559
0.595893212,3.4087608,0.31411012
0.602036246,3.4056437,0.306829415
0.608179276,3.4024221,0.30014661
0.614342279,3.3995084,0.293713987
0.620495299,3.3966721,0.287007805
0.626648289,3.3935931,0.28036713
0.632831265,3.3901042,0.273804061
0.63896431,3.3864576,0.268112464
0.64512732,3.3833437,0.26308046
0.651300292,3.3806194,0.257573122
0.657453303,3.3776438,0.251967266
0.663586345,3.3745261,0.246817482
0.669759337,3.3714774,0.241879902
0.675892361,3.3685981,0.237231098
0.682075361,3.3659485,0.232655162
0.688218388,3.3633597,0.227880847
0.694391355,3.3605071,0.223130589
0.700514421,3.3575725,0.218871533
0.706677388,3.3549639,0.215026567
0.712860397,3.3526664,0.210903271
0.719023392,3.35022,0.206584233
0.725166404,3.3478155,0.202692558
0.731339397,3.3454166,0.198404345
0.737472418,3.3426017,0.194260025
0.743635438,3.3398461,0.190920981
0.749798435,3.3375157,0.187554023
0.75593145,3.3354128,0.184130705
0.762124441,3.3332146,0.180340223
0.76826747,3.3308213,0.17675439
0.77442045,3.3285119,0.173390766
0.780563476,3.3261336,0.169761101
0.786716523,3.3235731,0.166420478
0.792859539,3.3208871,0.163109514
0.799052483,3.3181924,0.160261318
0.805175519,3.3154559,0.157304793
0.811348519,3.312627,0.155055655
0.817511506,3.3106483,0.153436394
0.823654573,3.3088085,0.150532466
0.829837503,3.3067164,0.148440772
0.836000532,3.3054404,0.146356437
0.842133591,3.3036976,0.142534797
0.848306571,3.3006158,0.139569087
0.854449572,3.2977639,0.138212489
0.860572629,3.2960116,0.137102545
0.866775592,3.2949597,0.135344173
0.872878634,3.2939944,0.132734367
0.87908163,3.2915573,0.128896397
0.885234599,3.2883094,0.127586051
0.891357663,3.2867029,0.12741049
0.897550623,3.2854071,0.125293808
0.903713632,3.2845351,0.124954776
0.909816695,3.284888,0.122765757
0.916009653,3.2838174,0.118537036
0.922152706,3.2813677,0.115964092
0.928295714,3.2793021,0.114307121
0.934468713,3.2776645,0.112573589
0.940641712,3.2769431,0.111264017
0.946754729,3.2759563,0.107485833
0.95294772,3.2729617,0.104046159
1.04909367,3.2471036,0.086479163
1.165526725,3.2279197,0.070064855
1.311030739,3.2091931,0.051542848
1.498778544,3.1887812,0.036035702
1.748290137,3.1688938,0.023596411
1.896942515,3.1585844,0.017489099
2.091965336,3.1462222,0.012649009
2.318585853,3.1341906,0.010069443
2.620940933,3.1214891,0.008760318
2.976064527,3.1089715,0.008258406
3.496580273,3.092332,0.009033507
3.783916877,3.0828621,0.009777273
4.031624304,3.0742951,0.011163108
4.295547504,3.0649262,0.013196731
4.692441882,3.0505027,0.017375613
5.100478351,3.0345694,0.022382774
5.596839199,3.0129066,0.030369106
6.262265374,2.9802779,0.045736409
6.985195831,2.9390925,0.068853617
7.468926954,2.9051132,0.089396222
8.000270201,2.8636822,0.123167539
8.377309962,2.831801,0.154550465
8.731280805,2.8011358,0.191456967
9.049940689,2.7736254,0.23198558
9.392741472,2.7461517,0.284474546
9.686264643,2.7251472,0.337831219
10.00033775,2.7090113,0.40481724
10.41883928,2.7030056,0.506068932
10.73456168,2.7118315,0.592000667
11.00037161,2.7332841,0.66910476
11.37469609,2.7861427,0.774110294
11.69662146,2.8530882,0.859208578
12.00040491,2.9353617,0.926828441
12.5236553,3.0916214,1.001193534
12.78187499,3.1795631,1.021650075
13.00043904,3.2551831,1.024632236
13.33163306,3.3606458,1.011256239
13.62463598,3.4465978,0.98403396
14,3.5369359,0.931143821
