wavelength,n,k
0.19986,3.0124,0.51817
0.20141,3.0183,0.48107
0.20297,3.021,0.4413
0.20457,3.0196,0.39961
0.20618,3.0137,0.35699
0.20782,3.0031,0.31449
0.20949,2.9879,0.27313
0.21119,2.9686,0.23383
0.21291,2.9458,0.19726
0.21466,2.9201,0.1639
0.21645,2.8923,0.13403
0.21826,2.8631,0.10771
0.2201,2.8332,0.084909
0.22197,2.8029,0.065464
0.22387,2.7728,0.049169
0.22581,2.7433,0.035783
0.22778,2.7145,0.025053
0.22979,2.6868,0.016733
0.23183,2.6605,0.01059
0.23391,2.6357,0.0062463
0.23603,2.6126,0.0031754
0.23818,2.5908,0.0012071
0.24038,2.5706,0.0002001
0.24261,2.5519,0
0.24489,2.5349,0
0.24721,2.519,0
0.24957,2.5041,0
0.25198,2.49,0
0.25444,2.4767,0
0.25695,2.464,0
0.2595,2.4518,0
0.26211,2.4402,0
0.26477,2.4291,0
0.26749,2.4185,0
0.27026,2.4082,0
0.27309,2.3984,0
0.27597,2.3889,0
0.27892,2.3797,0
0.28194,2.3709,0
0.28502,2.3623,0
0.28817,2.3541,0
0.29139,2.3461,0
0.29468,2.3383,0
0.29804,2.3308,0
0.30149,2.3236,0
0.30501,2.3165,0
0.30862,2.3097,0
0.31231,2.303,0
0.3161,2.2966,0
0.31997,2.2903,0
0.32395,2.2842,0
0.32802,2.2783,0
0.3322,2.2726,0
0.33648,2.267,0
0.34088,2.2615,0
0.34539,2.2562,0
0.35003,2.251,0
0.35479,2.246,0
0.35968,2.2411,0
0.3647,2.2364,0
0.36987,2.2317,0
0.37519,2.2272,0
0.38067,2.2228,0
0.3863,2.2185,0
0.39211,2.2143,0
0.39809,2.2102,0
0.40426,2.2063,0
0.41062,2.2024,0
0.41719,2.1986,0
0.42397,2.1949,0
0.43097,2.1914,0
0.43821,2.1879,0
0.4457,2.1845,0
0.45345,2.1811,0
0.46147,2.1779,0
0.46978,2.1748,0
0.47839,2.1717,0
0.48733,2.1687,0
0.4966,2.1658,0
0.50624,2.163,0
0.51625,2.1602,0
0.52668,2.1575,0
0.53753,2.1549,0
0.54884,2.1523,0
0.56063,2.1499,0
0.57294,2.1475,0
0.58581,2.1451,0
0.59926,2.1429,0
0.61335,2.1406,0
0.62812,2.1385,0
0.64361,2.1364,0
0.65989,2.1344,0
0.67701,2.1324,0
0.69505,2.1305,0
0.71407,2.1287,0
0.73417,2.1269,0
0.75543,2.1252,0
0.77795,2.1235,0
0.80186,2.1219,0
0.82729,2.1203,0
0.85438,2.1188,0
0.88331,2.1174,0
0.91426,2.116,0
0.94747,2.1147,0
0.98317,2.1134,0
1.0217,2.1121,0
1.0633,2.1109,0
1.1085,2.1098,0
1.1577,2.1087,0
1.2114,2.1077,0
1.2704,2.1067,0
1.3355,2.1058,0
1.4075,2.1049,0
1.4878,2.104,0
1.5777,2.1032,0
1.6793,2.1025,0
1.7948,2.1018,0
1.9274,2.1012,0
2.0811,2.1006,0
2.2616,2.1,0
2.4762,2.0995,0
2.7359,2.099,0
3.0564,2.0986,0
3.4619,2.0983,0
3.9916,2.0979,0
4.7126,2.0977,0
5.7515,2.0974,0
7.378,2.0972,0
10.287,2.0971,0
16.984,2.097,0
